"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","SB","OPS","GP"
"*05u2v*","C","Hunter Goodman","COL","C","Act","26","100","87.07","541","136","65","31","88","1",".806","142"
"*03m6o*","1B","Yandy Diaz","TB","1B","Act","34","100","137.72","571","161","74","19","76","2",".793","146"
"*04tjl*","2B","Otto Lopez","MIA","2B,SS","Act","27","99","317.62","552","145","69","12","69","16",".692","147"
"*05xch*","3B","Junior Caminero","TB","3B","Act","22","100","16.66","611","159","89","37","103","6",".806","155"
"*05udp*","SS","Elly De La Cruz","CIN","SS","Act","24","100","11.83","623","161","105","25","85","43",".790","159"
"*062k5*","CI","Nick Kurtz","ATH","1B","Act","22","100","18.73","552","145","107","42","106","2",".919","147"
"*0622t*","MI","Jacob Wilson","ATH","SS","Act","23","100","196.9","537","163","71","10","64","5",".777","139"
"*03wha*","OF","Ronald Acuna Jr.","ATL","OF","Act","28","100","8.8","545","161","114","31","69","15",".924","146"
"*0513l*","OF","Brenton Doyle","COL","OF","Act","27","100","186.93","545","128","63","18","59","21",".676","141"
"*0512v*","OF","Michael Harris II","ATL","OF","Act","24","100","101.94","613","164","69","22","80","22",".736","156"
"*05ua7*","OF","Jackson Merrill","SD","OF","Act","22","100","74.01","536","149","72","20","82","9",".797","134"
"*04o78*","OF","Matt Wallner","MIN","OF","Act","28","99","312.87","387","86","54","23","55","5",".810","110"
"*03cag*","UT","Kyle Schwarber","PHI","UT","Act","32","100","15.08","578","138","109","43","120","8",".874","160"
"*03dgq*","OF","Ryan OHearn","PIT","1B,OF","Res","32","100","323.6","504","133","70","14","70","3",".747","145"
"*02bu9*","2B","Marcus Semien","NYM","2B","Res","35","100","188.75","492","114","70","18","62","10",".687","131"
"*047l7*","OF","Luis Robert Jr.","NYM","OF","IR","28","100","126.93","409","96","58","18","51","32",".709","106"
"*05u3v*","OF","Walker Jenkins","MIN","OF","Min","20","64","447.15","157","41","22","3","13","9",".775","50"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","QS","K","ERA","WHIP","SVH","GP"
"*04s1h*","SP","Luis Gil","NYY","SP","Act","27","100","271.73","137","14","135","4.14","1.350","0","26"
"*05jp7*","SP","Gavin Williams","CLE","SP","Act","26","100","123.29","170","17","173","3.97","1.341","0","31"
"*01gya*","RP","Aroldis Chapman","BOS","RP","Act","37","100","144.23","58","0","86","2.95","1.069","37","65"
"*04ehz*","RP","Jeremiah Estrada","SD","RP","Act","27","68","431.36","69","0","101","3.52","1.130","30","74"
"*04yie*","P","George Kirby","SEA","SP","Act","27","100","73.18","170","18","167","3.71","1.100","0","30"
"*05y7s*","P","Nolan McLean","NYM","SP","Act","24","100","117.93","147","15","137","3.92","1.313","0","26"
"*05wru*","P","Paul Skenes","PIT","SP","Act","23","100","11.22","190","27","218","2.61","1.000","0","32"
"*05mre*","P","Spencer Strider","ATL","SP","Act","27","100","82.69","158","15","215","4.04","1.222","0","28"
"*04tzu*","P","Ronny Henriquez","MIA","RP","Act","25","62","421.47","70","0","80","3.73","1.229","38","63"
"*05rb3*","P","Chase Burns","CIN","SP","Res","23","100","106.3","132","16","161","3.20","1.038","0","24"
"*02bx4*","SP","Clay Holmes","NYM","SP","Res","32","100","277.38","164","18","139","3.68","1.305","0","31"
"*041ma*","P","Cole Ragans","KC","SP","IR","28","100","54.64","143","16","191","3.46","1.105","0","26"

