*041ma*,,Cole Ragans,,,2025
*03cag*,,Kyle Schwarber,,,2025

*05udp*,,Elly De La Cruz,10,21,2026
*047l7*,,Luis Robert Jr,3,-1,2026
*04yie*,,George Kirby,8,2,2026

*05xch*,,Junior Caminero,6,6,2027
*05wru*,,Paul Skenes,5,7,2027
*05ua7*,,Jackson Merrill,7,7,2027
"*02bu9*","2B","Marcus Semien",7,0,2026
