*05udp*,,Elly De La Cruz,10,21
*047l7*,,Luis Robert Jr,3,-1
*04aeb*,,Royce Lewis,9,21
*04yie*,,George Kirby,8,2
*041pz*,,Pete Alonso,2,-1
